site,time,timeout,spp,type,defac,final_N,N_remaining,mass_remaining,cellulose,lignin,carbon,nitrogen,CN,LIG_N
BCI,4,1.01,DRGL,L,0.782021177,2.727272727,0.097569049,7.644,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BCI,1,0.28,PIEL,L,0.782021177,0.301359992,0.818320783,99.071,41.338,21.418,54.26,0.36,163.8340763,61.36991993
BCI,2,0.51,PIEL,L,0.782021177,0.420765415,0.883591033,76.67975,41.338,21.418,54.26,0.36,163.8340763,61.36991993
BCI,3,0.77,PIEL,L,0.782021177,0.542784265,1.131295917,76.21175,41.338,21.418,54.26,0.36,163.8340763,61.36991993
BCI,4,1.01,PIEL,L,0.782021177,0.734957686,1.167083409,57.96425,41.338,21.418,54.26,0.36,163.8340763,61.36991993
BCI,5,1.28,PIEL,L,0.782021177,1.052965415,1.502752653,53.932,41.338,21.418,54.26,0.36,163.8340763,61.36991993
BCI,6,1.86,PIEL,L,0.782021177,1.079872748,1.368349144,46.35225,41.338,21.418,54.26,0.36,163.8340763,61.36991993
BCI,1,0.28,QUPR,L,0.782021177,1.199427695,1.059344134,95.01975,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
BCI,2,0.51,QUPR,L,0.782021177,1.640263174,0.733045468,48.18325,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
BCI,3,0.77,QUPR,L,0.782021177,1.550382717,0.453355404,31.90325,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
BCI,4,1.01,QUPR,L,0.782021177,1.867187499,0.497335236,29.08925,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
BCI,5,1.28,QUPR,L,0.782021177,2.1674343,0.444098564,22.0735,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
BCI,6,1.86,QUPR,L,0.782021177,2.305905773,0.194573581,9.09025,39.38125,23.51,51.47833333,1.026666667,50.5482187,23.34732617
BCI,1,0.28,THPL,L,0.782021177,0.825351076,1.139403348,92.823,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
BCI,2,0.51,THPL,L,0.782021177,1.022939858,0.925043425,60.83425,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
BCI,3,0.77,THPL,L,0.782021177,1.186453172,0.950954903,53.66325,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
BCI,4,1.01,THPL,L,0.782021177,1.51706346,0.672414694,29.64066667,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
BCI,5,1.28,THPL,L,0.782021177,1.800287587,0.833585455,31.7035,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
BCI,6,1.86,THPL,L,0.782021177,2.341824158,1.264248672,36.299,35.92,26.67142857,51.1275,0.6225,83.1161045,33.47281746
BCI,1,0.28,TRAE,L,0.782021177,0.385537241,0.881166075,89.13275,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BCI,2,0.51,TRAE,L,0.782021177,1.561740275,1.10532798,27.56125,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BCI,3,0.77,TRAE,L,0.782021177,1.605712148,1.074304111,27.253,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BCI,4,1.01,TRAE,L,0.782021177,2.318539465,0.887117442,17.49366667,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BCI,5,1.28,TRAE,L,0.782021177,2.541019312,1.021943791,15.726,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BCI,6,1.86,TRAE,L,0.782021177,1.373589011,0.294352764,8.3795,73.152,16.208,47.3225,0.3775,133.3215956,43.17563236
BNZ,1,1.02,ACSA,L,0.09796475,1.069812172,1.054728658,83.923,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,2,2.03,ACSA,L,0.09796475,1.037345102,0.918005549,75.37766667,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,3,3,ACSA,L,0.09796475,1.21981613,1.022396132,71.2785,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,4,3.98,ACSA,L,0.09796475,1.295721923,1.148414695,75.33566667,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,5,5,ACSA,L,0.09796475,1.651812648,1.077973641,55.995,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,6,6,ACSA,L,0.09796475,1.682056428,1.040169766,52.94575,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,7,7,ACSA,L,0.09796475,1.894373396,0.988522009,44.8415,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,8,8,ACSA,L,0.09796475,1.849371893,1.108719087,50.7315,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,9,9,ACSA,L,0.09796475,1.933263803,1.008562373,45.8645,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,10,10.01,ACSA,L,0.09796475,2.331566844,0.851765123,30.8715,27.328,15.87,49.7675,0.8075,61.83272048,19.74749408
BNZ,2,2.03,AMBR,L,0.09796475,0.678801467,0.687516145,70.70375,56.898,14.4,48.6275,0.6675,73.4741367,21.2683078
BNZ,8,8,AMBR,L,0.09796475,1.862215821,1.284513232,48.5375,56.898,14.4,48.6275,0.6675,73.4741367,21.2683078
BNZ,1,1.02,DRGL,L,0.09796475,2.38882132,0.825428907,73.934,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,2,2.03,DRGL,L,0.09796475,2.756161026,0.820741254,63.7475,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,3,3,DRGL,L,0.09796475,2.908718863,0.892117215,66.02233333,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,4,3.98,DRGL,L,0.09796475,3.271086273,0.942452634,62.567,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,5,5,DRGL,L,0.09796475,3.393544037,0.775585794,49.21975,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,6,6,DRGL,L,0.09796475,3.332073583,0.747694451,47.40125,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,7,7,DRGL,L,0.09796475,3.062766497,0.560502394,38.49333333,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,8,8,DRGL,L,0.09796475,3.364612397,0.696945942,43.583,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,9,9,DRGL,L,0.09796475,2.9522358,0.42515347,30.22,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,10,10.01,DRGL,L,0.09796475,3.238257532,0.500329551,32.6215,39.8175,10.90875,47.79333333,1.973333333,24.24524092,5.45215754
BNZ,1,1.02,PIRE,L,0.09796475,0.631248097,0.903082799,85.76925,44.58,19.176,53.41,0.5875,92.72093358,30.0547452
